Episode 1940, Avg Reward: 338.97, Best Reward: 770.80, remain_bees: 47, step: 143
Episode 1950, Avg Reward: 249.67, Best Reward: 770.80, remain_bees: 49, step: 60
Episode 1960, Avg Reward: 264.81, Best Reward: 770.80, remain_bees: 46, step: 135
Episode 1970, Avg Reward: 308.39, Best Reward: 770.80, remain_bees: 47, step: 94
Episode 1980, Avg Reward: 211.57, Best Reward: 770.80, remain_bees: 49, step: 93
Episode 1990, Avg Reward: 229.41, Best Reward: 770.80, remain_bees: 48, step: 103
Episode 2000, Avg Reward: 255.68, Best Reward: 770.80, remain_bees: 47, step: 66
Episode 2010, Avg Reward: 269.76, Best Reward: 770.80, remain_bees: 47, step: 86
Episode 2020, Avg Reward: 231.53, Best Reward: 770.80, remain_bees: 47, step: 91
Episode 2030, Avg Reward: 225.51, Best Reward: 770.80, remain_bees: 47, step: 231
Episode 2040, Avg Reward: 286.34, Best Reward: 770.80, remain_bees: 48, step: 125
Episode 2050, Avg Reward: 315.33, Best Reward: 770.80, remain_bees: 46, step: 212
Episode 2060, Avg Reward: 267.41, Best Reward: 770.80, remain_bees: 45, step: 107
Episode 2070, Avg Reward: 274.57, Best Reward: 770.80, remain_bees: 46, step: 140
Episode 2080, Avg Reward: 268.67, Best Reward: 770.80, remain_bees: 48, step: 145
Episode 2090, Avg Reward: 261.89, Best Reward: 770.80, remain_bees: 47, step: 108
Episode 2100, Avg Reward: 246.50, Best Reward: 770.80, remain_bees: 46, step: 75
Episode 2110, Avg Reward: 306.81, Best Reward: 770.80, remain_bees: 48, step: 51
Episode 2120, Avg Reward: 315.05, Best Reward: 770.80, remain_bees: 48, step: 116
Episode 2130, Avg Reward: 279.80, Best Reward: 770.80, remain_bees: 46, step: 144
Episode 2140, Avg Reward: 294.94, Best Reward: 770.80, remain_bees: 47, step: 122
Episode 2150, Avg Reward: 319.46, Best Reward: 770.80, remain_bees: 46, step: 181
Episode 2160, Avg Reward: 277.51, Best Reward: 770.80, remain_bees: 48, step: 45
Episode 2170, Avg Reward: 238.49, Best Reward: 770.80, remain_bees: 49, step: 28
Episode 2180, Avg Reward: 287.37, Best Reward: 770.80, remain_bees: 48, step: 77
Episode 2190, Avg Reward: 242.06, Best Reward: 770.80, remain_bees: 50, step: 58
Episode 2200, Avg Reward: 254.48, Best Reward: 770.80, remain_bees: 49, step: 28
Episode 2210, Avg Reward: 250.16, Best Reward: 770.80, remain_bees: 47, step: 62
Episode 2220, Avg Reward: 289.15, Best Reward: 770.80, remain_bees: 45, step: 63
Episode 2230, Avg Reward: 339.82, Best Reward: 770.80, remain_bees: 46, step: 233
Episode 2240, Avg Reward: 271.78, Best Reward: 770.80, remain_bees: 47, step: 129
Episode 2250, Avg Reward: 276.27, Best Reward: 770.80, remain_bees: 47, step: 120
Episode 2260, Avg Reward: 184.08, Best Reward: 770.80, remain_bees: 46, step: 192
Episode 2270, Avg Reward: 328.07, Best Reward: 770.80, remain_bees: 46, step: 195
Episode 2280, Avg Reward: 218.06, Best Reward: 770.80, remain_bees: 49, step: 61
Episode 2290, Avg Reward: 218.64, Best Reward: 770.80, remain_bees: 47, step: 124
Episode 2300, Avg Reward: 268.27, Best Reward: 770.80, remain_bees: 47, step: 128
Episode 2310, Avg Reward: 304.07, Best Reward: 770.80, remain_bees: 46, step: 144
Episode 2320, Avg Reward: 248.67, Best Reward: 770.80, remain_bees: 46, step: 137
Episode 2330, Avg Reward: 277.79, Best Reward: 770.80, remain_bees: 49, step: 198
Episode 2340, Avg Reward: 287.98, Best Reward: 770.80, remain_bees: 46, step: 137
Episode 2350, Avg Reward: 299.57, Best Reward: 770.80, remain_bees: 46, step: 309
Episode 2360, Avg Reward: 267.44, Best Reward: 770.80, remain_bees: 45, step: 162
Episode 2370, Avg Reward: 281.78, Best Reward: 770.80, remain_bees: 47, step: 148
Episode 2380, Avg Reward: 273.14, Best Reward: 770.80, remain_bees: 47, step: 102
Episode 2390, Avg Reward: 240.96, Best Reward: 770.80, remain_bees: 46, step: 288
Episode 2400, Avg Reward: 276.14, Best Reward: 770.80, remain_bees: 47, step: 87
Episode 2410, Avg Reward: 297.08, Best Reward: 770.80, remain_bees: 46, step: 126
Episode 2420, Avg Reward: 341.02, Best Reward: 770.80, remain_bees: 46, step: 186
Episode 2430, Avg Reward: 291.46, Best Reward: 770.80, remain_bees: 46, step: 398
Episode 2440, Avg Reward: 320.20, Best Reward: 770.80, remain_bees: 48, step: 56
Episode 2450, Avg Reward: 267.95, Best Reward: 770.80, remain_bees: 48, step: 103
Episode 2460, Avg Reward: 279.39, Best Reward: 770.80, remain_bees: 46, step: 292
Episode 2470, Avg Reward: 171.90, Best Reward: 770.80, remain_bees: 48, step: 83
Episode 2480, Avg Reward: 206.02, Best Reward: 770.80, remain_bees: 47, step: 230
Episode 2490, Avg Reward: 267.07, Best Reward: 770.80, remain_bees: 49, step: 93
