Episode 2580, Avg Reward: 221.36, Best Reward: 753.50, remain_bees: 45, step: 187
Episode 2590, Avg Reward: 358.12, Best Reward: 753.50, remain_bees: 45, step: 145
Episode 2600, Avg Reward: 285.57, Best Reward: 753.50, remain_bees: 47, step: 97
Episode 2610, Avg Reward: 308.82, Best Reward: 753.50, remain_bees: 47, step: 78
Episode 2620, Avg Reward: 312.73, Best Reward: 753.50, remain_bees: 47, step: 90
Episode 2630, Avg Reward: 295.47, Best Reward: 753.50, remain_bees: 45, step: 141
Episode 2640, Avg Reward: 246.95, Best Reward: 753.50, remain_bees: 46, step: 119
Episode 2650, Avg Reward: 224.46, Best Reward: 753.50, remain_bees: 48, step: 65
Episode 2660, Avg Reward: 237.95, Best Reward: 753.50, remain_bees: 48, step: 122
Episode 2670, Avg Reward: 312.01, Best Reward: 753.50, remain_bees: 48, step: 82
Episode 2680, Avg Reward: 175.46, Best Reward: 753.50, remain_bees: 47, step: 256
Episode 2690, Avg Reward: 219.84, Best Reward: 753.50, remain_bees: 49, step: 108
Episode 2700, Avg Reward: 329.89, Best Reward: 753.50, remain_bees: 47, step: 61
Episode 2710, Avg Reward: 215.12, Best Reward: 753.50, remain_bees: 48, step: 209
Episode 2720, Avg Reward: 296.37, Best Reward: 753.50, remain_bees: 47, step: 62
Episode 2730, Avg Reward: 306.55, Best Reward: 753.50, remain_bees: 46, step: 144
Episode 2740, Avg Reward: 290.97, Best Reward: 753.50, remain_bees: 46, step: 165
Episode 2750, Avg Reward: 259.48, Best Reward: 753.50, remain_bees: 47, step: 29
Episode 2760, Avg Reward: 250.04, Best Reward: 753.50, remain_bees: 46, step: 110
Episode 2770, Avg Reward: 221.81, Best Reward: 753.50, remain_bees: 50, step: 38
Episode 2780, Avg Reward: 261.72, Best Reward: 753.50, remain_bees: 46, step: 206
Episode 2790, Avg Reward: 297.70, Best Reward: 753.50, remain_bees: 47, step: 97
Episode 2800, Avg Reward: 284.77, Best Reward: 753.50, remain_bees: 46, step: 346
Episode 2810, Avg Reward: 299.34, Best Reward: 753.50, remain_bees: 47, step: 98
Episode 2820, Avg Reward: 210.78, Best Reward: 753.50, remain_bees: 47, step: 81
Episode 2830, Avg Reward: 285.91, Best Reward: 753.50, remain_bees: 45, step: 129
Episode 2840, Avg Reward: 318.97, Best Reward: 753.50, remain_bees: 45, step: 123
Episode 2850, Avg Reward: 289.58, Best Reward: 753.50, remain_bees: 47, step: 146
Episode 2860, Avg Reward: 247.12, Best Reward: 753.50, remain_bees: 47, step: 164
Episode 2870, Avg Reward: 214.65, Best Reward: 753.50, remain_bees: 48, step: 108
Episode 2880, Avg Reward: 280.41, Best Reward: 753.50, remain_bees: 47, step: 249
Episode 2890, Avg Reward: 293.89, Best Reward: 753.50, remain_bees: 46, step: 166
Episode 2900, Avg Reward: 265.60, Best Reward: 753.50, remain_bees: 46, step: 146
Episode 2910, Avg Reward: 283.54, Best Reward: 753.50, remain_bees: 45, step: 316
Episode 2920, Avg Reward: 267.91, Best Reward: 753.50, remain_bees: 50, step: 45
Episode 2930, Avg Reward: 278.93, Best Reward: 753.50, remain_bees: 46, step: 165
Episode 2940, Avg Reward: 234.34, Best Reward: 753.50, remain_bees: 47, step: 209
Episode 2950, Avg Reward: 306.58, Best Reward: 753.50, remain_bees: 48, step: 108
Episode 2960, Avg Reward: 228.29, Best Reward: 753.50, remain_bees: 47, step: 188
Episode 2970, Avg Reward: 309.73, Best Reward: 753.50, remain_bees: 46, step: 156
Episode 2980, Avg Reward: 281.31, Best Reward: 753.50, remain_bees: 49, step: 47
Episode 2990, Avg Reward: 201.55, Best Reward: 753.50, remain_bees: 49, step: 63
Episode 3000, Avg Reward: 326.13, Best Reward: 753.50, remain_bees: 47, step: 95
Episode 3010, Avg Reward: 261.01, Best Reward: 753.50, remain_bees: 46, step: 79
Episode 3020, Avg Reward: 229.37, Best Reward: 753.50, remain_bees: 47, step: 112
Episode 3030, Avg Reward: 211.99, Best Reward: 753.50, remain_bees: 49, step: 41
Episode 3040, Avg Reward: 310.81, Best Reward: 753.50, remain_bees: 46, step: 75
Episode 3050, Avg Reward: 309.13, Best Reward: 753.50, remain_bees: 46, step: 100
Episode 3060, Avg Reward: 273.54, Best Reward: 753.50, remain_bees: 48, step: 41
Episode 3070, Avg Reward: 253.31, Best Reward: 753.50, remain_bees: 46, step: 93
Episode 3080, Avg Reward: 238.47, Best Reward: 753.50, remain_bees: 46, step: 168
Episode 3090, Avg Reward: 240.45, Best Reward: 753.50, remain_bees: 48, step: 62
Episode 3100, Avg Reward: 295.90, Best Reward: 753.50, remain_bees: 48, step: 30
Episode 3110, Avg Reward: 306.21, Best Reward: 753.50, remain_bees: 47, step: 167
Episode 3120, Avg Reward: 228.34, Best Reward: 753.50, remain_bees: 44, step: 192
Episode 3130, Avg Reward: 253.64, Best Reward: 753.50, remain_bees: 47, step: 196
Episode 3140, Avg Reward: 285.49, Best Reward: 753.50, remain_bees: 44, step: 157
Episode 3150, Avg Reward: 343.82, Best Reward: 753.50, remain_bees: 46, step: 176
Episode 3160, Avg Reward: 252.37, Best Reward: 753.50, remain_bees: 46, step: 119
Episode 3170, Avg Reward: 255.86, Best Reward: 753.50, remain_bees: 46, step: 270
Episode 3180, Avg Reward: 275.58, Best Reward: 753.50, remain_bees: 48, step: 57
Episode 3190, Avg Reward: 232.14, Best Reward: 753.50, remain_bees: 50, step: 45
